X,(lambda=0.5),(lambda=1),(lambda=1.5)
0.05,0.024690087971667385,0.048770575499285984,0.07225651367144714
0.1,0.048770575499285984,0.09516258196404048,0.1392920235749422
0.15000000000000002,0.07225651367144714,0.1392920235749422,0.20148378124062294
0.2,0.09516258196404048,0.18126924692201818,0.2591817793182821
0.25,0.11750309741540454,0.22119921692859512,0.31271072120902776
0.30000000000000004,0.1392920235749422,0.2591817793182821,0.3623718483782268
0.35000000000000003,0.16054297923079264,0.29531191028128656,0.4084446356331849
0.4,0.18126924692201818,0.3296799539643607,0.4511883639059736
0.45,0.20148378124062294,0.36237184837822667,0.4908435793924508
0.5,0.22119921692859512,0.3934693402873666,0.5276334472589852
0.55,0.24042787677503152,0.42305018961951335,0.5617650075350508
0.6000000000000001,0.2591817793182821,0.4511883639059736,0.5934303402594009
0.65,0.2774726463579278,0.47795422323898396,0.622807646436843
0.7000000000000001,0.29531191028128656,0.5034146962085905,0.6500622508888446
0.75,0.31271072120902776,0.5276334472589852,0.6753475326416503
0.8,0.3296799539643607,0.5506710358827784,0.6988057880877979
0.8500000000000001,0.3462302148701527,0.5725850680512734,0.7205690317785927
0.9,0.36237184837822667,0.5934303402594009,0.7407597393541085
0.9500000000000001,0.37811494353498,0.6132589765454988,0.7594915367916578
1.0,0.3934693402873666,0.6321205588285577,0.7768698398515701
1.05,0.4084446356331849,0.6500622508888446,0.7929924473188474
1.1,0.42305018961951335,0.6671289163019205,0.8079500913792459
1.1500000000000001,0.4372951311930443,0.6833632306209468,0.8218269482271016
1.2000000000000002,0.4511883639059736,0.6988057880877979,0.8347011117784136
1.25,0.4647385714810097,0.7134952031398099,0.8466450331550716
1.3,0.47795422323898396,0.7274682069659875,0.8577259284134864
1.35,0.4908435793924508,0.7407597393541085,0.8680061568121699
1.4000000000000001,0.5034146962085905,0.7534030360583935,0.8775435717470181
1.4500000000000002,0.5156754310446375,0.7654297119062023,0.8863918463292363
1.5,0.5276334472589852,0.7768698398515701,0.8946007754381357
1.55,0.5392962190010342,0.7877520261732569,0.9022165559486499
1.6,0.5506710358827784,0.7981034820053445,0.9092820467105875
1.6500000000000001,0.5617650075350508,0.8079500913792459,0.9158370097426897
1.7000000000000002,0.5725850680512734,0.8173164759472653,0.9219183339988468
1.75,0.5831379803214916,0.8262260565495548,0.9275602429657486
1.8,0.5934303402594009,0.8347011117784134,0.9327944872602503
1.85,0.6034685809250071,0.8427628336863724,0.9376505233103266
1.9000000000000001,0.6132589765454988,0.8504313807773649,0.9421556791251615
1.9500000000000002,0.622807646436843,0.8577259284134864,0.9463353080872698
2.0,0.6321205588285577,0.8646647167633873,0.950212931632136
2.0500000000000003,0.6412035345940484,0.8712650964121957,0.9538103716183199
2.1,0.6500622508888446,0.8775435717470181,0.9571478731329598
2.15,0.6587022446990063,0.883515842226503,0.9602442184237787
2.2,0.6671289163019205,0.8891968416376661,0.96311683259876
2.25,0.6753475326416503,0.8946007754381357,0.965781881688334
2.3000000000000003,0.6833632306209468,0.8997411562771963,0.9682543636219321
2.35,0.6911810203119801,0.9046308377844504,0.9705481926308928
2.4000000000000004,0.6988057880877979,0.9092820467105875,0.9726762775527075
2.45,0.7062422996764672,0.9137064135006295,0.9746505944772751
2.5,0.7134952031398099,0.9179150013761012,0.9764822541439909
2.5500000000000003,0.7205690317785927,0.9219183339988468,0.9781815644689572
2.6,0.7274682069659875,0.9257264217856661,0.9797580885541957
2.6500000000000004,0.7341970409110734,0.9293487869395705,0.9812206985053156
2.7,0.7407597393541085,0.9327944872602503,0.9825776253605065
2.75,0.7471604041952535,0.9360721387932924,0.9838365054118341
2.8000000000000003,0.7534030360583935,0.9391899373747821,0.9850044231795223
2.85,0.7594915367916578,0.9421556791251615,0.9860879512810624
2.9000000000000004,0.7654297119062023,0.9449767799435927,0.9870931874195201
2.95,0.7712212729547776,0.9476602940515676,0.9880257886991964
3.0,0.7768698398515701,0.950212931632136,0.9888910034617577
3.0500000000000003,0.7823789431347672,0.9526410756088591,0.9896937008219993
3.1,0.7877520261732569,0.9549507976064422,0.9904383980694564
3.1500000000000004,0.7929924473188474,0.9571478731329598,0.9911292860900718
3.2,0.7981034820053445,0.9592377960216338,0.99177025295098
3.25,0.8030883247958059,0.961225792168278,0.99236490578114
3.3000000000000003,0.8079500913792459,0.96311683259876,0.9929165910709479
3.35,0.8126918205180429,0.964915645899155,0.9934284135050704
3.4000000000000004,0.8173164759472653,0.9666267300396739,0.9939032534344844
3.45,0.8218269482271016,0.9682543636219321,0.9943437830860469
3.5,0.8262260565495548,0.9698026165776815,0.9947524816008186
3.5500000000000003,0.8305165505005299,0.9712753603457606,0.9951316489857702
3.6,0.8347011117784134,0.9726762775527075,0.9954834190573874
3.6500000000000004,0.8387823558702232,0.9740088712212447,0.9958097714500154
3.7,0.8427628336863724,0.9752764735296606,0.9961125427565238
3.75,0.8466450331550716,0.9764822541439909,0.9963934368639843
3.8000000000000003,0.8504313807773649,0.9776292281438344,0.9966540345425288
3.85,0.8541242431437726,0.9787202635616228,0.9968958023413507
3.9000000000000004,0.8577259284134864,0.9797580885541957,0.9971201008419117
3.95,0.8612386877570447,0.9807452982246131,0.9973281923148005
4.0,0.8646647167633873,0.9816843611112658,0.9975212478233336
4.05,0.8680061568121697,0.9825776253605065,0.997700353813875
4.1000000000000005,0.8712650964121957,0.9834273245982388,0.9978665182299623
4.15,0.8744435725068028,0.9842355835151455,0.9980206761846468
4.2,0.8775435717470181,0.9850044231795223,0.9981636952229711
4.25,0.8805670317332803,0.9857357660910008,0.9982963802041974
4.3,0.883515842226503,0.9864314409877991,0.9984194778312638
4.3500000000000005,0.8863918463292363,0.9870931874195201,0.9985336808529571
4.4,0.8891968416376661,0.9877226600969315,0.9986396319624521
4.45,0.8919325813651707,0.9883214330296045,0.9987379274141553
4.5,0.8946007754381357,0.9888910034617577,0.9988291203792088
4.55,0.8972030915647136,0.9894327956161474,0.9989137240585362
4.6000000000000005,0.8997411562771963,0.9899481642553665,0.9989922145709514
4.65,0.9022165559486499,0.9904383980694564,0.9990650336325834
4.7,0.9046308377844504,0.9909047228983042,0.999132591042693
4.75,0.9069855107893365,0.9913483047968794,0.9991952669898754
4.800000000000001,0.9092820467105875,0.99177025295098,0.9992534141916233
4.8500000000000005,0.9115218809579128,0.9921716224507743,0.9993073598792932
4.9,0.9137064135006295,0.9925534169290756,0.9993574076396444
4.95,0.9158370097426897,0.9929165910709479,0.9994038391233157
5.0,0.9179150013761012,0.9932620530009145,0.9994469156298522
